X,Y,FWHM,FWHM Error
6420.480059,-17465.8043,9.755771,0.697292
6470.480059,-17465.8043,9.029191,0.4313
6520.480059,-17465.8043,8.047763,0.230595
6570.480059,-17465.8043,7.208061,0.119319
6620.480059,-17465.8043,7.034327,0.095416
6670.480059,-17465.8043,6.88727,0.093736
6720.480059,-17465.8043,6.664203,0.094014
6770.480059,-17465.8043,7.271747,0.107247
6820.480059,-17465.8043,8.83829,0.120734
6870.480059,-17465.8043,9.115797,0.119133
6920.480059,-17465.8043,8.333246,0.116406
6970.480059,-17465.8043,8.433087,0.121768
7020.480059,-17465.8043,8.407809,0.126116
7070.480059,-17465.8043,7.313258,0.112146
7120.480059,-17465.8043,6.687453,0.095287
7170.480059,-17465.8043,6.595204,0.087875
7220.480059,-17465.8043,6.739985,0.087395
7270.480059,-17465.8043,7.410957,0.100505
7320.480059,-17465.8043,9.055676,0.112388
7370.480059,-17465.8043,10.826732,0.107356
7420.480059,-17465.8043,11.441314,0.12096
7470.480059,-17465.8043,9.771709,0.127484
7520.480059,-17465.8043,7.887928,0.113839
7570.480059,-17465.8043,7.576595,0.104239
7620.480059,-17465.8043,7.716853,0.106099
7670.480059,-17465.8043,7.689164,0.110415
7720.480059,-17465.8043,7.98431,0.112232
7770.480059,-17465.8043,7.363105,0.104046
7820.480059,-17465.8043,6.855035,0.097298
7870.480059,-17465.8043,7.43392,0.106534
7920.480059,-17465.8043,8.750586,0.108904
7970.480059,-17465.8043,9.104589,0.108317
8020.480059,-17465.8043,9.032699,0.11494
8070.480059,-17465.8043,8.906303,0.120398
8120.480059,-17465.8043,8.940322,0.122844
8170.480059,-17465.8043,9.499404,0.122454
8220.480059,-17465.8043,10.873224,0.102791
8270.480059,-17465.8043,10.765487,0.100954
8320.480059,-17465.8043,8.858544,0.122376
8370.480059,-17465.8043,8.057875,0.120998
8420.480059,-17465.8043,9.045757,0.116946
8470.480059,-17465.8043,10.14168,0.095184
8520.480059,-17465.8043,9.315966,0.102639
8570.480059,-17465.8043,7.871736,0.113552
8620.480059,-17465.8043,7.916526,0.126081
8670.480059,-17465.8043,10.193986,0.132824
8720.480059,-17465.8043,10.793156,0.112458
8770.480059,-17465.8043,9.498626,0.12371
8820.480059,-17465.8043,9.135147,0.126449
8870.480059,-17465.8043,9.222353,0.126044
8920.480059,-17465.8043,10.314442,0.119358
8970.480059,-17465.8043,10.246542,0.119133
9020.480059,-17465.8043,9.260926,0.120276
9070.480059,-17465.8043,9.383891,0.117537
9120.480059,-17465.8043,9.926833,0.109048
9170.480059,-17465.8043,9.862226,0.107437
9220.480059,-17465.8043,9.983296,0.114975
9270.480059,-17465.8043,11.114563,0.114748
9320.480059,-17465.8043,10.695632,0.116766
9370.480059,-17465.8043,9.187463,0.122459
9420.480059,-17465.8043,8.723992,0.117294
9470.480059,-17465.8043,7.683254,0.110929
9520.480059,-17465.8043,7.138993,0.101991
9570.480059,-17465.8043,7.561561,0.107256
9620.480059,-17465.8043,8.515658,0.116168
9670.480059,-17465.8043,9.422994,0.111555
6420.480059,-17415.8043,7.670006,0.292867
6470.480059,-17415.8043,7.653289,0.184849
6520.480059,-17415.8043,7.619011,0.139997
6570.480059,-17415.8043,7.382122,0.110603
6620.480059,-17415.8043,7.723992,0.105898
6670.480059,-17415.8043,7.829633,0.108726
6720.480059,-17415.8043,7.154785,0.103619
6770.480059,-17415.8043,7.23921,0.107102
6820.480059,-17415.8043,8.093271,0.120878
6870.480059,-17415.8043,8.320607,0.123961
6920.480059,-17415.8043,8.497776,0.120265
6970.480059,-17415.8043,9.102705,0.120014
7020.480059,-17415.8043,8.586491,0.123171
7070.480059,-17415.8043,7.308034,0.111455
7120.480059,-17415.8043,6.638323,0.096431
7170.480059,-17415.8043,6.448995,0.087545
7220.480059,-17415.8043,6.53474,0.087617
7270.480059,-17415.8043,6.900635,0.096379
7320.480059,-17415.8043,7.727819,0.107918
7370.480059,-17415.8043,8.864247,0.113839
7420.480059,-17415.8043,9.525792,0.117763
7470.480059,-17415.8043,8.953362,0.121453
7520.480059,-17415.8043,8.498814,0.115166
7570.480059,-17415.8043,8.390589,0.110546
7620.480059,-17415.8043,7.7157,0.10929
7670.480059,-17415.8043,7.348496,0.108951
7720.480059,-17415.8043,7.510866,0.109339
7770.480059,-17415.8043,7.07855,0.100472
7820.480059,-17415.8043,6.747422,0.096158
7870.480059,-17415.8043,7.250155,0.108044
7920.480059,-17415.8043,8.625544,0.119144
7970.480059,-17415.8043,9.490275,0.113174
8020.480059,-17415.8043,9.636912,0.114071
8070.480059,-17415.8043,9.252241,0.122279
8120.480059,-17415.8043,8.554794,0.125266
8170.480059,-17415.8043,8.837745,0.12634
8220.480059,-17415.8043,9.807886,0.11718
8270.480059,-17415.8043,10.030012,0.106326
8320.480059,-17415.8043,9.589724,0.116287
8370.480059,-17415.8043,8.959356,0.12613
8420.480059,-17415.8043,8.827309,0.123638
8470.480059,-17415.8043,9.310028,0.116605
8520.480059,-17415.8043,8.668024,0.115921
8570.480059,-17415.8043,7.663462,0.113806
8620.480059,-17415.8043,7.681291,0.119909
8670.480059,-17415.8043,9.410726,0.131783
8720.480059,-17415.8043,10.492726,0.115684
8770.480059,-17415.8043,9.497695,0.124852
8820.480059,-17415.8043,8.753263,0.12827
8870.480059,-17415.8043,8.851222,0.127691
8920.480059,-17415.8043,10.124139,0.123529
8970.480059,-17415.8043,10.528831,0.119044
9020.480059,-17415.8043,9.768673,0.121896
9070.480059,-17415.8043,9.135876,0.122799
9120.480059,-17415.8043,9.260867,0.116791
9170.480059,-17415.8043,9.808977,0.108659
9220.480059,-17415.8043,10.396301,0.107532
9270.480059,-17415.8043,10.859131,0.110557
9320.480059,-17415.8043,10.480388,0.117358
9370.480059,-17415.8043,9.602104,0.123448
9420.480059,-17415.8043,9.240718,0.119473
9470.480059,-17415.8043,8.185836,0.115707
9520.480059,-17415.8043,7.654767,0.110196
9570.480059,-17415.8043,8.346971,0.115136
9620.480059,-17415.8043,9.021048,0.115691
9670.480059,-17415.8043,8.665747,0.114426
6420.480059,-17365.8043,7.270806,0.223693
6470.480059,-17365.8043,7.073892,0.1303
6520.480059,-17365.8043,7.033283,0.109272
6570.480059,-17365.8043,7.079083,0.103796
6620.480059,-17365.8043,7.880233,0.110756
6670.480059,-17365.8043,8.690609,0.113741
6720.480059,-17365.8043,7.971372,0.113722
6770.480059,-17365.8043,7.763261,0.116465
6820.480059,-17365.8043,8.485606,0.127769
6870.480059,-17365.8043,8.359907,0.125363
6920.480059,-17365.8043,8.420608,0.119098
6970.480059,-17365.8043,9.290783,0.116237
7020.480059,-17365.8043,9.046757,0.115638
7070.480059,-17365.8043,7.967254,0.112927
7120.480059,-17365.8043,7.023151,0.100474
7170.480059,-17365.8043,6.435391,0.086388
7220.480059,-17365.8043,6.365744,0.086574
7270.480059,-17365.8043,6.584821,0.093248
7320.480059,-17365.8043,7.044875,0.098704
7370.480059,-17365.8043,7.830359,0.107434
7420.480059,-17365.8043,8.694746,0.116043
7470.480059,-17365.8043,9.236628,0.115038
7520.480059,-17365.8043,9.900083,0.102767
7570.480059,-17365.8043,9.488784,0.106676
7620.480059,-17365.8043,7.801229,0.11402
7670.480059,-17365.8043,7.185038,0.109278
7720.480059,-17365.8043,7.236448,0.105695
7770.480059,-17365.8043,6.921262,0.095992
7820.480059,-17365.8043,6.72399,0.094006
7870.480059,-17365.8043,7.020375,0.107611
7920.480059,-17365.8043,7.878543,0.1264
7970.480059,-17365.8043,9.292109,0.126188
8020.480059,-17365.8043,10.414804,0.112057
8070.480059,-17365.8043,9.709167,0.124551
8120.480059,-17365.8043,7.992159,0.123813
8170.480059,-17365.8043,7.769214,0.118771
8220.480059,-17365.8043,8.313669,0.119441
8270.480059,-17365.8043,8.685201,0.115371
8320.480059,-17365.8043,9.534838,0.120013
8370.480059,-17365.8043,9.688942,0.126955
8420.480059,-17365.8043,9.108551,0.127703
8470.480059,-17365.8043,9.356739,0.12587
8520.480059,-17365.8043,8.690476,0.12396
8570.480059,-17365.8043,7.588736,0.111811
8620.480059,-17365.8043,7.266622,0.10801
8670.480059,-17365.8043,8.197241,0.122812
8720.480059,-17365.8043,9.539795,0.124034
8770.480059,-17365.8043,9.014506,0.125952
8820.480059,-17365.8043,8.249925,0.126027
8870.480059,-17365.8043,8.806675,0.130886
8920.480059,-17365.8043,10.628127,0.123561
8970.480059,-17365.8043,11.619064,0.108628
9020.480059,-17365.8043,11.084467,0.106386
9070.480059,-17365.8043,10.097588,0.114349
9120.480059,-17365.8043,10.164701,0.110154
9170.480059,-17365.8043,10.914124,0.101725
9220.480059,-17365.8043,10.896578,0.103666
9270.480059,-17365.8043,10.02502,0.11527
9320.480059,-17365.8043,9.871481,0.120712
9370.480059,-17365.8043,10.072435,0.12196
9420.480059,-17365.8043,9.567943,0.120778
9470.480059,-17365.8043,8.47796,0.119119
9520.480059,-17365.8043,8.030231,0.117719
9570.480059,-17365.8043,8.878529,0.121741
9620.480059,-17365.8043,9.499317,0.116278
9670.480059,-17365.8043,8.657349,0.116747
6420.480059,-17315.8043,7.750004,0.237877
6470.480059,-17315.8043,7.293682,0.12845
6520.480059,-17315.8043,7.154172,0.10753
6570.480059,-17315.8043,7.286205,0.107802
6620.480059,-17315.8043,8.064017,0.114657
6670.480059,-17315.8043,9.362406,0.109239
6720.480059,-17315.8043,9.388852,0.113735
6770.480059,-17315.8043,9.298374,0.123263
6820.480059,-17315.8043,10.145739,0.119655
6870.480059,-17315.8043,9.710572,0.113615
6920.480059,-17315.8043,8.819826,0.11183
6970.480059,-17315.8043,8.752184,0.113789
7020.480059,-17315.8043,8.835049,0.11678
7070.480059,-17315.8043,8.987881,0.114554
7120.480059,-17315.8043,7.947731,0.109255
7170.480059,-17315.8043,6.676776,0.090358
7220.480059,-17315.8043,6.371271,0.088324
7270.480059,-17315.8043,6.597315,0.097509
7320.480059,-17315.8043,7.047164,0.103432
7370.480059,-17315.8043,7.790978,0.112356
7420.480059,-17315.8043,9.429006,0.115599
7470.480059,-17315.8043,10.987651,0.090931
7520.480059,-17315.8043,11.568019,0.084555
7570.480059,-17315.8043,10.321219,0.097834
7620.480059,-17315.8043,8.324535,0.119998
7670.480059,-17315.8043,8.056792,0.119052
7720.480059,-17315.8043,8.258755,0.112925
7770.480059,-17315.8043,7.527827,0.103048
